ATGC#,genomes,numgenomes,superkingdom,phylum,order,commontaxa,COGorgs,mediandnmin,mediandnmax,mediandsmin,mediandsmax,mediandndsmin,mediandndsmax,genomesizemin,genomesizemax,genomesizeavg,numgenesmin,numgenesmax,numgenesavg,gcmin,gcmax,gcavg
ATGC091,Burkholderia YI23/RPE67/RPE64,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[80840] {order} Burkholderiales,[32008] {genus} Burkholderia,,0.0,0.0,0.1,0.7,0.1,0.1,7.0,8.9,8.2,6219,8054,7368,63.2,63.4,63.3
ATGC092,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC093,Sulfolobus islandicus/solfataricus,20,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[2281] {order} Sulfolobales,[2284] {genus} Sulfolobus,Sulsol,0.0,0.0,0.0,0.6,0.1,0.6,2.5,3.0,2.7,2505,2967,2690,35.0,35.9,35.3
ATGC094,Sulfolobus acidocaldarius,4,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[2281] {order} Sulfolobales,[2285] {species} Sulfolobus acidocaldarius,Sulaci,0.0,0.0,0.0,0.2,0.1,0.6,2.1,2.2,2.2,2038,2227,2169,36.3,36.7,36.6
ATGC095,Vulcanisaeta moutnovskia/distributa,2,[2157] {superkingdom} Archaea,[28889] {phylum} Crenarchaeota,[2266] {order} Thermoproteales,[164450] {genus} Vulcanisaeta,Vuldis,0.1,0.1,1.3,1.3,0.1,0.1,2.3,2.4,2.3,2353,2420,2386,42.4,45.4,43.9
ATGC096,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC097,Erwinia amylovora/tasmaniensis/pyrifoliae/Ejp617,8,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[551] {genus} Erwinia,Erwamy,0.0,0.0,0.0,0.6,0.1,0.9,3.8,4.1,3.9,3314,3564,3407,53.4,53.7,53.6
ATGC098,Serratia marcescens/plymuthica/liquefaciens/FS14/AS12/proteamaculans/SCBI/AS13,19,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[613] {genus} Serratia,Serply,0.0,0.0,0.0,1.0,0.0,0.2,5.1,5.8,5.4,4462,5274,4804,55.0,59.8,57.5
ATGC099,Pantoea ananatis/vagans/rwandensis/agglomerans/PSNIH1/At,8,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[53335] {genus} Pantoea,Panat9,0.0,0.1,0.0,1.7,0.0,0.3,4.3,6.3,4.9,3831,5690,4363,53.3,56.0,54.4
ATGC100,Pectobacterium atrosepticum/carotovorum/wasabiae/SCC3193,7,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[122277] {genus} Pectobacterium,Pecscc,0.0,0.0,0.0,0.4,0.1,0.2,4.8,5.2,5.0,4052,4400,4258,50.4,52.2,51.2
ATGC101,Dickeya zeae/dadantii,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[204037] {genus} Dickeya,Dicdad,0.0,0.0,0.2,0.7,0.0,0.1,4.5,4.9,4.8,3797,4156,4010,53.4,56.3,54.4
ATGC102,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC103,Rahnella aquatilis/Y9602,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[34037] {genus} Rahnella,Rahy96,0.0,0.0,0.0,0.0,0.2,0.2,5.6,5.7,5.6,4942,5010,4976,52.1,52.2,52.2
ATGC104,Bifidobacterium longum/breve,26,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85004] {order} Bifidobacteriales,[1678] {genus} Bifidobacterium,Biflon,0.0,0.0,0.0,1.0,0.0,0.5,2.2,2.8,2.4,1728,2425,1910,58.6,60.3,59.5
ATGC105,Bifidobacterium animalis,16,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85004] {order} Bifidobacteriales,[28025] {species} Bifidobacterium animalis,,0.0,0.0,0.0,0.1,0.1,0.8,1.9,2.0,1.9,1478,1545,1529,60.5,60.6,60.5
ATGC106,Bifidobacterium bifidum,5,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85004] {order} Bifidobacteriales,[1681] {species} Bifidobacterium bifidum,,0.0,0.0,0.0,0.0,0.3,0.3,2.2,2.2,2.2,1690,1715,1704,62.6,62.8,62.7
ATGC107,Gardnerella vaginalis,3,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85004] {order} Bifidobacteriales,[2702] {species} Gardnerella vaginalis,Garvag,0.0,0.0,0.0,0.0,0.2,0.5,1.7,1.7,1.7,1239,1365,1298,41.2,41.4,41.3
ATGC108,Listeria monocytogenes/ivanovii/welshimeri/seeligeri,75,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[1385] {order} Bacillales,[1637] {genus} Listeria,,0.0,0.0,0.0,1.9,0.0,1.3,2.8,3.2,3.0,2661,3152,2843,36.4,38.3,37.9
ATGC109,Vibrio cholerae/mimicus,17,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135623] {order} Vibrionales,[662] {genus} Vibrio,Vibcho,0.0,0.0,0.0,0.9,0.0,0.7,3.7,5.0,4.1,3076,4688,3692,45.7,48.0,47.4
ATGC110,Vibrio parahaemolyticus/campbellii/antiquarius/alginolyticus/EJY3/harveyi,16,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135623] {order} Vibrionales,[662] {genus} Vibrio,,0.0,0.1,0.0,1.7,0.0,0.4,5.0,6.1,5.3,4404,5248,4652,44.7,45.5,45.2
ATGC111,Aeromonas hydrophila/media/salmonicida/veronii,15,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135624] {order} Aeromonadales,[642] {genus} Aeromonas,Aersal,0.0,0.1,0.0,1.0,0.0,0.5,4.5,5.3,4.9,3917,4570,4244,58.2,62.0,60.7
ATGC112,Aliivibrio/Vibrio,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135623] {order} Vibrionales,[511678] {genus} Aliivibrio,Alisal,0.1,0.1,1.6,2.0,0.0,0.0,4.3,4.7,4.5,3815,4029,3937,38.3,39.0,38.6
ATGC113,Vibrio vulnificus,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135623] {order} Vibrionales,[672] {species} Vibrio vulnificus,,0.0,0.0,0.0,0.0,0.1,0.2,5.0,5.3,5.1,4236,4523,4359,46.7,46.9,46.8
ATGC114,Haemophilus influenzae,16,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[727] {species} Haemophilus influenzae,Haeinf,0.0,0.0,0.0,0.2,0.1,0.1,1.8,2.0,1.9,1509,1866,1728,38.0,38.3,38.2
ATGC115,Pasteurella multocida,9,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[747] {species} Pasteurella multocida,Pasmul,0.0,0.1,0.0,2.2,0.0,0.9,2.1,2.4,2.3,1872,2189,2038,39.7,40.4,40.3
ATGC116,Actinobacillus pleuropneumoniae/suis/equuli,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[713] {genus} Actinobacillus,,0.0,0.0,0.0,0.6,0.0,0.1,2.2,2.5,2.4,1984,2221,2106,40.2,41.3,40.9
ATGC117,Aggregatibacter actinomycetemcomitans/aphrophilus,10,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[416916] {genus} Aggregatibacter,Aggact,0.0,0.1,0.0,1.1,0.1,0.7,2.1,2.4,2.3,1841,2163,2003,42.2,44.4,43.7
ATGC118,Haemophilus parasuis,4,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[738] {species} [Haemophilus] parasuis,,0.0,0.0,0.0,0.1,0.1,0.1,2.3,2.3,2.3,1997,2064,2040,40.0,40.0,40.0
ATGC119,Haemophilus somnus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135625] {order} Pasteurellales,[731] {species} Histophilus somni,,0.0,0.0,0.0,0.0,0.2,0.2,2.0,2.3,2.1,1754,1968,1861,37.2,37.4,37.3
ATGC120,Shewanella baltica/putrefaciens/MR/W3/oneidensis/ANA,14,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[22] {genus} Shewanella,Sheone,0.0,0.1,0.0,1.7,0.0,0.2,4.7,5.5,5.1,3955,4680,4308,44.5,47.9,46.2
ATGC121,Shewanella halifaxensis/pealeana,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135622] {order} Alteromonadales,[22] {genus} Shewanella,,0.0,0.0,1.1,1.1,0.0,0.0,5.2,5.2,5.2,4264,4277,4270,44.6,44.7,44.7
ATGC122,Sinorhizobium meliloti/medicae,9,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[28105] {genus} Sinorhizobium,Sinmel,0.0,0.0,0.0,0.7,0.1,0.5,6.7,7.2,6.9,6085,6632,6335,61.1,62.2,62.0
ATGC123,Rhizobium etli/leguminosarum,10,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[379] {genus} Rhizobium,Rhileg,0.0,0.0,0.0,0.6,0.1,0.2,6.4,7.8,7.0,5855,7162,6403,60.8,61.3,61.0
ATGC124,Mesorhizobium ciceri/opportunistum/loti/australicum,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[68287] {genus} Mesorhizobium,Meslot,0.0,0.0,0.0,0.8,0.0,0.2,6.2,7.6,6.9,5742,7065,6381,62.5,62.9,62.6
ATGC125,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC126,Agrobacterium/Rhizobium,5,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[227290] {no rank} Rhizobium/Agrobacterium group,Agrfab,0.0,0.0,0.0,0.8,0.0,0.2,5.5,5.7,5.6,4991,5355,5131,58.5,59.2,58.9
ATGC127,Yersinia pestis/pseudotuberculosis/enterocolitica/ruckeri/aldovae/rohdei/aleksiciae/similis/kristensenii/frederiksenii/intermedia,62,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[629] {genus} Yersinia,Yerpes,0.0,0.1,0.0,1.6,0.0,2.0,3.6,5.0,4.7,3061,4401,4099,46.9,49.0,47.5
ATGC128,Treponema pallidum/paraluiscuniculi,3,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[136] {order} Spirochaetales,[157] {genus} Treponema,Trepal,0.0,0.0,0.0,0.0,0.5,0.6,1.1,1.1,1.1,931,970,948,52.7,52.8,52.8
ATGC129,Spirochaeta thermophila,2,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[136] {order} Spirochaetales,[154] {species} Spirochaeta thermophila,,0.0,0.0,0.2,0.2,0.1,0.1,2.5,2.6,2.5,2195,2258,2226,60.9,61.9,61.4
ATGC130,Haloferax gibbonsii/volcanii/mediterranei,3,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[1644055] {order} Haloferacales,[2251] {genus} Haloferax,Halvol,0.0,0.1,0.4,1.5,0.0,0.1,3.9,4.0,3.9,3699,3805,3740,60.3,66.2,64.0
ATGC131,Halobacterium salinarum,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2235] {order} Halobacteriales,[2242] {species} Halobacterium salinarum,Halsal,0.0,0.0,0.0,0.0,0.6,0.6,2.6,2.7,2.6,2540,2592,2566,65.7,65.9,65.8
ATGC132,Haloquadratum walsbyi,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[1644055] {order} Haloferacales,[293091] {species} Haloquadratum walsbyi,Halwal,0.0,0.0,0.0,0.0,0.4,0.4,3.2,3.3,3.2,2680,2792,2736,47.7,47.9,47.8
ATGC133,Haloarcula hispanica/marismortui/CBA1115,4,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2235] {order} Halobacteriales,[2237] {genus} Haloarcula,Halmar,0.0,0.0,0.0,0.5,0.1,1.2,3.9,4.3,4.1,3717,4100,3875,61.1,62.5,62.0
ATGC134,Xanthomonas citri/oryzae/campestris/axonopodis/fuscans,50,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135614] {order} Xanthomonadales,[338] {genus} Xanthomonas,Xanory,0.0,0.1,0.0,0.9,0.1,0.9,4.4,5.4,5.1,3530,4458,4146,63.6,65.4,64.5
ATGC135,Stenotrophomonas maltophilia,7,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[135614] {order} Xanthomonadales,[40324] {species} Stenotrophomonas maltophilia,Stemal,0.0,0.0,0.0,0.5,0.0,0.1,4.5,4.9,4.7,3964,4328,4103,66.3,66.9,66.5
ATGC136,Brucella/Ochrobactrum,50,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[118882] {family} Brucellaceae,Brumel;Ochant,0.0,0.1,0.0,1.1,0.0,1.2,3.2,5.2,3.4,2669,4860,3095,56.1,57.3,57.2
ATGC137,Neisseria meningitidis/gonorrhoeae/lactamica,30,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[206351] {order} Neisseriales,[482] {genus} Neisseria,Neimen,0.0,0.0,0.0,0.2,0.1,1.1,2.1,2.3,2.2,1886,2229,2102,51.3,52.7,51.8
ATGC138,Francisella tularensis/philomiragia/noatunensis/cf_novicida/cf_tularensis/TX077308,45,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72273] {order} Thiotrichales,[262] {genus} Francisella,Fratul,0.0,0.1,0.0,3.1,0.0,1.2,1.8,2.2,1.9,1421,1999,1735,32.1,32.9,32.3
ATGC139,Streptomyces CFMR/griseus/fulvissimus/globisporus,4,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85011] {order} Streptomycetales,[1883] {genus} Streptomyces,,0.0,0.0,0.5,0.9,0.1,0.1,7.8,8.5,8.1,6652,6942,6777,71.5,72.2,71.8
ATGC140,Streptomyces cattleya,2,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85011] {order} Streptomycetales,[1003195] {no rank} Streptomyces cattleya NRRL 8057 = DSM 46488,,0.0,0.0,0.0,0.0,0.5,0.5,8.1,8.1,8.1,6949,6954,6951,73.0,73.0,73.0
ATGC141,Streptomyces hygroscopicus,3,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85011] {order} Streptomycetales,[1912] {species} Streptomyces hygroscopicus,,0.0,0.0,0.0,0.0,0.2,0.2,10.1,10.5,10.3,8654,8898,8761,71.8,72.0,71.9
ATGC142,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC143,Campylobacter jejuni/coli,103,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213849] {order} Campylobacterales,[194] {genus} Campylobacter,Camjej,0.0,0.1,0.0,2.0,0.0,1.9,1.6,2.1,1.7,1449,2180,1645,30.2,31.4,30.5
ATGC144,Borrelia/Borreliella,16,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[136] {order} Spirochaetales,[64895] {genus} Borreliella,Borcro,0.0,0.0,0.0,0.4,0.1,0.7,0.9,1.5,1.2,730,1482,1068,27.5,28.6,28.2
ATGC145,Borrelia miyamotoi/duttonii/parkeri/recurrentis/turicatae/hermsii,7,[2] {superkingdom} Bacteria,[203691] {phylum} Spirochaetes,[136] {order} Spirochaetales,[138] {genus} Borrelia,,0.0,0.1,0.0,1.5,0.1,0.3,0.9,1.6,1.1,777,1368,934,27.5,29.8,28.7
ATGC146,Thermotoga maritima/RQ7/petrophila/2812B/neapolitana/naphthophila/Cell2/RQ2,13,[2] {superkingdom} Bacteria,[200918] {phylum} Thermotogae,[2419] {order} Thermotogales,[2335] {genus} Thermotoga,Themar,0.0,0.1,0.0,1.7,0.0,0.8,1.7,1.9,1.8,1632,1873,1820,46.1,47.1,46.3
ATGC147,Methanococcus maripaludis,5,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2182] {order} Methanococcales,[39152] {species} Methanococcus maripaludis,Metmar,0.0,0.0,0.1,0.7,0.1,0.1,1.7,1.8,1.7,1716,1817,1785,32.9,33.4,33.1
ATGC148,Methanocaldococcus bathoardescens/FS406,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2182] {order} Methanococcales,[196118] {genus} Methanocaldococcus,,0.0,0.0,0.7,0.7,0.0,0.0,1.6,1.8,1.7,1609,1778,1693,30.8,32.0,31.4
ATGC149,Acinetobacter baumannii/pittii/calcoaceticus/oleivorans,42,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[72274] {order} Pseudomonadales,[469] {genus} Acinetobacter,,0.0,0.0,0.0,0.8,0.0,0.4,3.7,4.3,4.0,3363,4155,3692,38.7,39.3,39.0
ATGC150,Thermococcus cleftensis/onnurineus/4557,3,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2258] {order} Thermococcales,[2263] {genus} Thermococcus,,0.1,0.1,1.7,2.9,0.0,0.0,1.8,2.0,1.9,1936,2076,2014,51.3,56.1,54.4
ATGC151,Pyrococcus furiosus,2,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2258] {order} Thermococcales,[2261] {species} Pyrococcus furiosus,Pyrfur,0.0,0.0,0.0,0.0,0.8,0.8,1.9,1.9,1.9,1989,2005,1997,40.8,40.8,40.8
ATGC152,Thermococcus guaymasensis/gammatolerans/AM4,3,[2157] {superkingdom} Archaea,[28890] {phylum} Euryarchaeota,[2258] {order} Thermococcales,[2263] {genus} Thermococcus,,0.0,0.1,0.9,1.7,0.0,0.0,1.9,2.1,2.0,2021,2225,2119,52.9,54.8,53.8
ATGC153,Desulfovibrio vulgaris,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[213115] {order} Desulfovibrionales,[881] {species} Desulfovibrio vulgaris,Desvul,0.0,0.0,0.0,0.0,0.2,0.6,3.7,3.8,3.7,3051,3535,3260,63.2,63.3,63.3
ATGC154,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC155,Buchnera aphidicola,14,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[9] {species} Buchnera aphidicola,Bucaph,0.0,0.1,0.0,2.9,0.0,1.0,0.6,0.7,0.6,408,590,557,24.2,26.4,25.9
ATGC156,Moranella endobia,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[91347] {order} Enterobacteriales,[1048758] {species} Candidatus Moranella endobia,Morend,0.0,0.0,0.0,0.0,0.7,0.7,0.5,0.5,0.5,411,412,411,43.5,43.5,43.5
ATGC157,Acetobacter pasteurianus/SLV,12,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204441] {order} Rhodospirillales,[434] {genus} Acetobacter,Acepas,0.0,0.0,0.0,0.4,0.1,1.0,2.8,3.3,3.2,2535,3019,2910,52.4,53.3,53.0
ATGC158,Gluconacetobacter diazotrophicus,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204441] {order} Rhodospirillales,[272568] {no rank} Gluconacetobacter diazotrophicus PA1 5,Gludia,0.0,0.0,0.0,0.0,0.2,0.2,3.9,4.0,4.0,3476,3516,3496,66.3,66.3,66.3
ATGC159,Propionibacterium acnes/avidum,17,[2] {superkingdom} Bacteria,[201174] {phylum} Actinobacteria,[85009] {order} Propionibacteriales,[1743] {genus} Propionibacterium,,0.0,0.1,0.0,1.6,0.0,1.6,2.5,2.6,2.5,2184,2336,2262,60.0,63.5,60.3
ATGC160,Synechococcus KORDI/WH/CC9605,5,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1118] {order} Chroococcales,[1129] {genus} Synechococcus,,0.0,0.1,0.3,3.1,0.0,0.1,2.1,2.6,2.4,2167,2583,2450,59.1,61.4,59.9
ATGC161,Synechococcus elongatus/UTEX,3,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1118] {order} Chroococcales,[1129] {genus} Synechococcus,,0.0,0.0,0.0,0.0,0.4,0.7,2.7,2.7,2.7,2576,2655,2628,55.4,55.5,55.4
ATGC162,Enterococcus faecalis,7,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1351] {species} Enterococcus faecalis,Entfae,0.0,0.0,0.0,0.0,0.2,0.3,2.7,3.4,3.0,2548,3264,2827,37.4,37.8,37.5
ATGC163,Enterococcus faecium,11,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[186826] {order} Lactobacillales,[1352] {species} Enterococcus faecium,,0.0,0.0,0.0,0.2,0.1,0.4,2.6,3.4,2.9,2386,3234,2744,37.6,38.4,38.0
ATGC164,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC165,Rhodobacter sphaeroides,6,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204455] {order} Rhodobacterales,[1063] {species} Rhodobacter sphaeroides,Rhosph,0.0,0.0,0.0,1.1,0.0,0.3,4.4,4.7,4.6,4072,4305,4194,68.2,69.1,68.8
ATGC166,Roseobacter litoralis/denitrificans,2,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204455] {order} Rhodobacterales,[2433] {genus} Roseobacter,Roslit,0.0,0.0,0.6,0.6,0.1,0.1,4.3,4.7,4.5,3992,4431,4211,57.2,58.9,58.0
ATGC167,Phaeobacter gallaeciensis/inhibens,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[204455] {order} Rhodobacterales,[302485] {genus} Phaeobacter,Phagal,0.0,0.0,0.1,0.4,0.0,0.1,4.2,4.5,4.3,3809,4267,3982,59.4,59.8,59.7
ATGC168,Thermus thermophilus/parvatiensis,5,[2] {superkingdom} Bacteria,[1297] {phylum} Deinococcus-Thermus,[68933] {order} Thermales,[270] {genus} Thermus,Thethe,0.0,0.0,0.0,0.2,0.1,0.1,2.0,2.3,2.2,1573,2371,2115,68.5,69.5,69.0
ATGC169,Thermus aquaticus/CCB/scotoductus,3,[2] {superkingdom} Bacteria,[1297] {phylum} Deinococcus-Thermus,[68933] {order} Thermales,[270] {genus} Thermus,,0.1,0.1,1.3,1.5,0.1,0.1,2.3,2.4,2.3,2201,2394,2329,64.9,68.6,67.2
ATGC170,(missing),0,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ATGC171,Thermoanaerobacter X514/italicus/X513/kivui/mathranii/brockii/wiegelii/pseudethanolicus,8,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[68295] {order} Thermoanaerobacterales,[1754] {genus} Thermoanaerobacter,,0.0,0.1,0.0,1.2,0.1,0.3,2.3,2.8,2.4,2152,2432,2259,34.1,35.0,34.5
ATGC172,Tepidanaerobacter acetatoxydans,2,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[68295] {order} Thermoanaerobacterales,[1209989] {no rank} Tepidanaerobacter acetatoxydans Re1,Tepace,0.0,0.0,0.0,0.0,0.6,0.6,2.8,2.8,2.8,2539,2555,2547,37.5,37.5,37.5
ATGC173,Rhodopseudomonas palustris,4,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[1076] {species} Rhodopseudomonas palustris,,0.0,0.1,0.6,1.2,0.0,0.1,4.9,5.7,5.3,4348,5164,4752,64.8,66.0,65.3
ATGC174,Oligotropha carboxidovorans,3,[2] {superkingdom} Bacteria,[1224] {phylum} Proteobacteria,[356] {order} Rhizobiales,[40137] {species} Oligotropha carboxidovorans,Olicar,0.0,0.0,0.0,0.0,0.4,0.9,3.7,3.9,3.8,3461,3637,3558,62.3,62.4,62.4
ATGC175,Hydrogenobaculum HO/3684/Y04AAS1/SN/SHO,5,[2] {superkingdom} Bacteria,[200783] {phylum} Aquificae,[32069] {order} Aquificales,[168657] {genus} Hydrogenobaculum,Hydy04,0.0,0.0,0.0,0.2,0.1,1.1,1.6,1.6,1.6,1568,1595,1578,34.8,34.8,34.8
ATGC176,Hydrogenobacter thermophilus,2,[2] {superkingdom} Bacteria,[200783] {phylum} Aquificae,[32069] {order} Aquificales,[608538] {no rank} Hydrogenobacter thermophilus TK-6,Hydthe,0.0,0.0,0.0,0.0,0.2,0.2,1.7,1.7,1.7,1866,1868,1867,44.0,44.0,44.0
ATGC177,Prochlorococcus marinus/MIT,5,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1212] {order} Prochlorales,[1218] {genus} Prochlorococcus,,0.0,0.0,0.3,0.6,0.1,0.1,1.6,1.8,1.7,1769,1885,1816,31.1,31.3,31.2
ATGC178,Prochlorococcus marinus,2,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1212] {order} Prochlorales,[1219] {species} Prochlorococcus marinus,,0.1,0.1,0.9,0.9,0.1,0.1,1.7,1.7,1.7,1777,1784,1780,30.8,30.8,30.8
ATGC179,Prochlorococcus marinus #2,2,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1212] {order} Prochlorales,[1219] {species} Prochlorococcus marinus,Promar,0.0,0.0,0.1,0.1,0.2,0.2,2.4,2.7,2.5,2339,2504,2421,50.0,50.7,50.4
ATGC180,Prochlorococcus marinus/MIT,3,[2] {superkingdom} Bacteria,[1117] {phylum} Cyanobacteria,[1212] {order} Prochlorales,[1218] {genus} Prochlorococcus,,0.0,0.0,0.1,0.2,0.1,0.1,1.8,1.9,1.9,1930,1977,1953,34.9,35.1,35.0
ATGC181,Caldicellulosiruptor kristjanssonii/lactoaceticus/hydrothermalis/bescii/owensensis/obsidiansis/saccharolyticus/kronotskyensis,8,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[68295] {order} Thermoanaerobacterales,[44000] {genus} Caldicellulosiruptor,Calsac,0.0,0.1,0.0,2.8,0.0,0.2,2.4,3.0,2.7,2142,2628,2417,35.1,36.1,35.6
ATGC182,Thermoanaerobacterium thermosaccharolyticum/xylanolyticum,3,[2] {superkingdom} Bacteria,[1239] {phylum} Firmicutes,[68295] {order} Thermoanaerobacterales,[28895] {genus} Thermoanaerobacterium,Thet02,0.0,0.1,0.1,2.2,0.0,0.1,2.5,2.9,2.7,2312,2693,2524,33.7,35.0,34.3
